Comprimento,Largura,X0,Y0,Xe,Ye,Distancia,Precisao,R.P.N.,R.P.A.,R.P.N.-R.P.A.,Preciso,Acuracia,R.A.N.,R.A.A.,R.A.N.-R.A.A.,Acurado
40,47,11.75,5.0,24.787,15.046,16.459,0.001,4,5,-1,Norm,60,1,1,0,Norm
474,371,92.75,237.0,355.91,215.695,264.021,0.1,4,7,-3,Norm,18,0,0,0,Norm
417,2,0.25,208.5,0.827,176.031,32.474,0.001,2,6,-4,Norm,59,0,0,0,Norm
209,173,86.5,26.125,90.404,140.14,114.082,1,3,5,-2,Norm,41,0,0,0,Norm
193,429,107.25,48.25,196.594,179.229,158.549,0.001,5,7,-2,Norm,83,1,1,0,Norm
455,295,147.5,227.5,23.11,375.363,193.226,0.01,5,9,-4,Norm,60,0,0,0,Norm
358,265,66.25,89.5,115.645,194.262,115.823,0.01,4,5,-1,Norm,55,0,0,0,Norm
86,374,93.5,21.5,357.019,14.253,263.619,0.01,5,10,-5,Norm,48,0,0,0,Norm
429,139,69.5,107.25,5.803,338.945,240.291,0.1,4,5,-1,Norm,98,2,2,0,Norm
269,319,39.875,33.625,306.698,96.584,274.15,0.1,4,6,-2,Norm,59,1,1,0,Norm
63,266,133.0,7.875,74.587,9.392,58.433,0.001,4,8,-4,Norm,23,0,0,0,Norm
302,452,226.0,75.5,60.807,28.171,171.839,0.01,5,7,-2,Norm,67,1,1,0,Norm
59,203,25.375,7.375,148.697,4.251,123.362,0.1,4,4,0,Igual,69,1,1,0,Igual
441,9,2.25,220.5,7.272,261.306,41.114,0.1,2,3,-1,Norm,47,0,0,0,Norm
214,348,87.0,107.0,342.402,50.994,261.471,0.001,5,11,-6,Norm,37,1,1,0,Norm
22,353,176.5,11.0,187.825,18.022,13.325,1,2,3,-1,Norm,28,0,0,0,Norm
203,83,20.75,101.5,79.989,46.569,80.788,0.01,5,8,-3,Norm,62,1,1,0,Norm
449,435,108.75,224.5,111.158,307.071,82.606,0.001,3,8,-5,Norm,72,0,0,0,Norm
488,428,214.0,122.0,344.152,261.86,191.051,0.01,4,5,-1,Norm,99,2,2,0,Norm
282,198,49.5,70.5,178.176,151.801,152.208,0.01,5,6,-1,Norm,88,2,2,0,Norm
255,163,81.5,63.75,120.939,10.981,65.879,0.1,4,5,-1,Norm,72,1,1,0,Norm
134,488,61.0,16.75,107.081,122.245,115.12,0.001,4,9,-5,Norm,21,0,0,0,Norm
331,293,146.5,165.5,70.77,250.602,113.918,0.1,4,5,-1,Norm,16,0,0,0,Norm
454,472,59.0,113.5,420.294,330.459,421.432,1,4,4,0,Igual,47,1,1,0,Igual
258,484,60.5,64.5,471.707,124.96,415.628,0.01,5,7,-2,Norm,49,0,0,0,Norm
130,95,11.875,16.25,20.006,123.697,107.754,0.01,6,8,-2,Norm,56,0,0,0,Norm
127,303,37.875,15.875,98.396,50.983,69.967,1,2,4,-2,Norm,52,1,1,0,Norm
276,127,63.5,69.0,98.928,259.985,194.243,0.1,4,6,-2,Norm,35,0,0,0,Norm
128,143,17.875,16.0,94.109,0.735,77.747,0.1,3,4,-1,Norm,35,1,1,0,Norm
224,434,217.0,56.0,123.598,11.699,103.376,0.001,5,6,-1,Norm,94,1,2,-1,Norm
450,71,8.875,112.5,1.588,234.724,122.441,0.01,3,6,-3,Norm,34,0,0,0,Norm
270,271,135.5,67.5,83.897,239.803,179.864,1,4,4,0,Igual,76,1,1,0,Igual
101,161,20.125,50.5,83.051,28.711,66.592,0.01,4,7,-3,Norm,64,1,1,0,Norm
67,394,98.5,8.375,92.822,32.757,25.034,0.001,4,8,-4,Norm,90,0,0,0,Norm
295,89,22.25,73.75,44.323,160.693,89.701,0.001,4,9,-5,Norm,6,0,0,0,Norm
376,439,109.75,94.0,51.396,125.681,66.399,0.001,4,7,-3,Norm,82,1,1,0,Norm
219,243,121.5,54.75,143.705,217.206,163.967,1,3,3,0,Igual,71,0,0,0,Igual
481,315,39.375,120.25,29.32,392.883,272.818,0.001,5,9,-4,Norm,15,0,0,0,Norm
130,389,194.5,32.5,104.297,74.615,99.55,0.1,4,5,-1,Norm,86,1,2,-1,Norm
497,391,48.875,248.5,205.173,180.711,170.366,0.1,4,6,-2,Norm,6,0,0,0,Norm
442,158,19.75,55.25,147.292,287.912,265.327,0.01,5,9,-4,Norm,65,1,1,0,Norm
292,174,21.75,36.5,8.368,190.111,154.193,0.001,5,7,-2,Norm,5,0,0,0,Norm
17,321,80.25,2.125,77.969,1.927,2.29,0.001,2,5,-3,Norm,5,0,0,0,Norm
255,365,182.5,63.75,10.738,131.876,184.779,0.01,4,3,1,Arr,99,3,2,1,Arr
16,262,65.5,8.0,32.381,12.061,33.367,0.01,4,5,-1,Norm,87,1,1,0,Norm
40,308,38.5,20.0,205.543,30.083,167.347,0.001,4,8,-4,Norm,34,0,0,0,Norm
385,169,84.5,48.125,65.201,174.287,127.63,1,3,3,0,Igual,75,1,1,0,Igual
425,29,3.625,106.25,24.06,344.92,239.543,0.001,4,9,-5,Norm,38,1,1,0,Norm
188,162,40.5,47.0,125.642,99.794,100.182,0.1,4,5,-1,Norm,64,1,1,0,Norm
305,204,25.5,152.5,114.861,170.072,91.072,0.001,4,10,-6,Norm,2,0,0,0,Norm
296,257,128.5,37.0,134.685,172.623,135.764,0.001,4,7,-3,Norm,97,1,1,0,Norm
279,19,9.5,69.75,4.635,154.713,85.102,1,2,3,-1,Norm,84,1,1,0,Norm
332,210,105.0,41.5,31.585,172.13,149.846,0.01,5,8,-3,Norm,17,0,0,0,Norm
248,359,179.5,124.0,337.486,137.695,158.578,1,3,3,0,Igual,32,0,0,0,Igual
236,250,125.0,29.5,100.24,122.285,96.032,0.1,4,6,-2,Norm,13,0,0,0,Norm
131,271,135.5,65.5,200.554,18.553,80.225,0.001,4,8,-4,Norm,60,0,0,0,Norm
21,8,1.0,10.5,3.495,5.94,5.198,0.1,3,4,-1,Norm,60,1,1,0,Norm
255,79,9.875,31.875,72.362,249.993,226.892,0.001,6,9,-3,Norm,73,1,1,0,Norm
317,184,92.0,79.25,38.217,288.039,215.605,0.001,5,8,-3,Norm,82,1,1,0,Norm
299,221,55.25,37.375,198.041,280.421,281.888,0.1,5,9,-4,Norm,68,1,1,0,Norm
391,309,38.625,97.75,149.188,99.961,110.585,0.01,4,7,-3,Norm,74,0,0,0,Norm
169,174,43.5,42.25,1.512,92.839,65.744,0.01,4,7,-3,Norm,89,2,1,1,Arr
390,404,101.0,97.5,290.929,50.253,195.717,0.001,4,6,-2,Norm,81,1,1,0,Norm
98,270,135.0,24.5,32.739,96.181,124.882,1,4,4,0,Igual,29,2,1,1,Arr
154,395,98.75,77.0,144.493,127.604,68.214,1,2,3,-1,Norm,27,0,0,0,Norm
482,130,32.5,120.5,10.037,83.547,43.245,0.01,4,5,-1,Norm,35,0,0,0,Norm
118,143,17.875,59.0,41.3,19.569,45.864,1,3,3,0,Igual,22,0,0,0,Igual
77,161,80.5,9.625,146.95,7.319,66.49,0.1,4,5,-1,Norm,6,0,0,0,Norm
425,140,70.0,53.125,131.926,235.095,192.218,0.001,5,7,-2,Norm,59,1,1,0,Norm
101,288,72.0,25.25,236.121,6.204,165.222,1,3,4,-1,Norm,47,1,1,0,Norm
478,131,16.375,59.75,74.068,106.989,74.565,1,3,3,0,Igual,81,1,1,0,Igual
159,323,40.375,39.75,250.522,108.085,220.978,0.1,4,5,-1,Norm,44,1,1,0,Norm
205,111,13.875,102.5,76.614,160.999,85.781,0.001,5,9,-4,Norm,12,0,0,0,Norm
308,79,19.75,154.0,20.842,291.111,137.115,0.1,3,5,-2,Norm,12,0,0,0,Norm
408,461,57.625,102.0,174.001,190.056,145.936,0.1,3,5,-2,Norm,34,0,0,0,Norm
32,78,19.5,8.0,60.198,17.668,41.831,0.001,4,7,-3,Norm,93,1,1,0,Norm
204,207,25.875,25.5,54.051,159.723,137.148,0.1,4,6,-2,Norm,28,0,0,0,Norm
389,21,10.5,97.25,10.432,202.512,105.262,1,1,1,0,Igual,23,0,0,0,Igual
153,240,30.0,19.125,105.949,131.353,135.512,0.001,5,9,-4,Norm,82,1,1,0,Norm
233,401,100.25,116.5,335.235,15.121,255.921,1,4,4,0,Igual,90,2,1,1,Arr
287,173,86.5,35.875,39.561,108.253,86.266,1,3,3,0,Igual,30,0,0,0,Igual
220,451,56.375,110.0,164.662,161.436,119.882,1,3,4,-1,Norm,32,0,0,0,Norm
